target_id	length	eff_length	est_counts	tpm
BAB35501	3048	2849	145	0.468496
BAB38243	3051	2852	13699	44.215
BAB38484	2148	1949	409	1.93171
BAA31758	876	677	271	3.68478
BAA31759	1758	1559	1363	8.04786
BAA31760	1506	1307	1046	7.36693
BAA31761	1224	1025	1015	9.11534
BAA31762	435	236	378	14.7438
BAA31763	555	356	451	11.6616
BAA31764	348	149	89	5.49837
BAA31765	600	401	302	6.93255
BAA31766	978	779	835	9.86687
BAA31767	849	650	1182	16.7392
BAA31768	513	314	577	16.9152
BAA31769	717	518	129	2.2924
BAA31770	402	203	247	11.2003
BAA31771	342	143	610	39.2667
BAA31772	822	623	1025	15.1449
BAA31773	492	293	34	1.06817
BAA31774	2997	2798	374	1.23042
BAA31775	2121	1922	144	0.689667
BAA31776	1440	1241	99	0.734334
BAA31777	285	86.0009	24	2.56885
BAA31778	741	542	1876.33	31.867
BAA31779	318	119	373.666	28.9046
BAA31780	954	755	2094.34	25.5347
BAA31781	330	131	624.662	43.8939
BAA31782	621	422	250	5.45328
BAA31783	684	485	2	0.0379593
BAA31784	219	25.9389	520	184.537
BAA31785	306	107	615	52.9081
BAA31786	807	608	1394	21.1052
BAA31787	891	692	7324.52	97.4324
BAA31788	327	128	232.726	16.7365
BAA31789	246	47.5399	136	26.3337
BAA31790	1167	968	1365	12.9804
BAA31791	972	773	1112	13.2421
BAA31792	1725	1526	3453	20.8292
BAA31793	903	704	1078	14.0954
BAA31794	306	107	39	3.35515
BAA31795	684	485	139	2.63817
BAA31796	555	356	84	2.172
BAA31797	777	578	59.7368	0.95136
BAA31798	573	374	66.2632	1.63091
BAA31799	303	104	41	3.62895
BAA31800	423	224	139	5.71212
BAA31801	390	191	375	18.0729
BAA31802	231	34.449	67	17.9031
BAA31803	1362	1163	120	0.9498
BAA31804	564	365	105	2.64805
BAA31805	456	257	28	1.00289
BAA31806	453	254	148	5.36363
BAA31807	1959	1760	592	3.09628
BAA31808	435	236	125	4.8756
BAA31809	762	563	684	11.1835
BAA31810	159	7.91627	3598	4183.8
BAA31811	1974	1775	2095	10.8647
BAA31812	432	233	210	8.29648
BAA31813	360	161	393.427	22.4941
BAA31814	411	212	129	5.60124
BAA31815	9510	9311	2046	2.02274
BAA31816	273	74.0093	191.573	23.8275
