target_id	length	eff_length	est_counts	tpm
BAB35501	3048	2849	119.006	0.410923
BAB38243	3051	2852	19948	68.8071
BAB38484	2148	1949	467	2.35716
BAA31758	876	677	223	3.24041
BAA31759	1758	1559	2159	13.6236
BAA31760	1506	1307	1656	12.4643
BAA31761	1224	1025	931	8.93531
BAA31762	435	236	582	24.2602
BAA31763	555	356	563	15.5576
BAA31764	348	149	66	4.35754
BAA31765	600	401	345	8.46367
BAA31766	978	779	929	11.7317
BAA31767	849	650	1506	22.7927
BAA31768	513	314	769	24.0924
BAA31769	717	518	146	2.77273
BAA31770	402	203	466	22.5826
BAA31771	342	143	1192	82.0019
BAA31772	822	623	1574	24.8542
BAA31773	492	293	21	0.705075
BAA31774	2997	2798	283	0.994999
BAA31775	2121	1922	90	0.460652
BAA31776	1440	1241	96	0.760997
BAA31777	285	86.0009	19	2.17337
BAA31778	741	542	2541.33	46.126
BAA31779	318	119	472.667	39.0744
BAA31780	954	755	4440.71	57.8614
BAA31781	330	131	1310.29	98.3967
BAA31782	621	422	533	12.4251
BAA31783	684	485	17	0.344819
BAA31784	219	25.9389	739	280.271
BAA31785	306	107	880	80.9064
BAA31786	807	608	1599	25.8719
BAA31787	891	692	13813.6	196.375
BAA31788	327	128	473.188	36.367
BAA31789	246	47.5399	136	28.1426
BAA31790	1167	968	3556	36.1385
BAA31791	972	773	3188	40.5716
BAA31792	1725	1526	4071	26.244
BAA31793	903	704	823	11.5003
BAA31794	306	107	16	1.47102
BAA31795	684	485	142	2.88025
BAA31796	555	356	106	2.92914
BAA31797	777	578	40	0.680794
BAA31798	573	374	65	1.70972
BAA31799	303	104	60	5.67547
BAA31800	423	224	124	5.44575
BAA31801	390	191	95	4.89299
BAA31802	231	34.449	80	22.8453
BAA31803	1362	1163	144	1.21805
BAA31804	564	365	129	3.47681
BAA31805	456	257	38	1.45457
BAA31806	453	254	142	5.49969
BAA31807	1959	1760	782	4.37097
BAA31808	435	236	139	5.79411
BAA31809	762	563	660	11.5324
BAA31810	159	7.91627	4849	6025.81
BAA31811	1974	1775	1858	10.2975
BAA31812	432	233	355	14.9884
BAA31813	360	161	478.024	29.2084
BAA31814	411	212	156	7.2389
BAA31815	9510	9311	1438	1.51931
BAA31816	273	74.0093	167.976	22.3277
BAA31817	504	305	179.938	5.80373
BAA31818	1416	1217	84	0.679004
BAA31819	747	548	190	3.4108
BAA31820	861	662	258	3.83394
BAA31821	561	362	214	5.81553
BAA31822	462	263	57	2.13208
BAA31823	339	140	101	7.09704
BAA31824	255	56.1701	4965	869.557
BAA31825	858	659	5443	81.2525
BAA31826	285	86.0009	1112	127.2
BAA31827	276	77.0053	776	99.1345
BAA31828	207	19.5103	298	150.258
BAA31829	381	182	422	22.81
BAA31830	777	578	610.391	10.3888
