target_id	length	eff_length	est_counts	tpm
BAB35501	3048	2849	114.005	0.453552
BAB38243	3051	2852	20723	82.3564
BAB38484	2148	1949	405	2.35525
BAA31758	876	677	216	3.61626
BAA31759	1758	1559	1973	14.3442
BAA31760	1506	1307	1518	13.1641
BAA31761	1224	1025	1260	13.9329
BAA31762	435	236	588	28.2397
BAA31763	555	356	738	23.4964
BAA31764	348	149	215	16.3548
BAA31765	600	401	442	12.4932
BAA31766	978	779	1347	19.5986
BAA31767	849	650	1767	30.8118
BAA31768	513	314	664	23.968
BAA31769	717	518	187	4.09172
BAA31770	402	203	360	20.1002
BAA31771	342	143	872	69.1154
BAA31772	822	623	1178	21.4314
BAA31773	492	293	20	0.773672
BAA31774	2997	2798	214	0.866883
BAA31775	2121	1922	112	0.660479
BAA31776	1440	1241	92	0.840253
BAA31777	285	86.0009	18	2.37227
BAA31778	741	542	2035.52	42.5668
BAA31779	318	119	456.477	43.4777
BAA31780	954	755	4217.38	63.3126
BAA31781	330	131	1183.62	102.408
BAA31782	621	422	568	15.2556
BAA31783	684	485	23	0.537502
BAA31784	219	25.9389	616	269.168
BAA31785	306	107	783	82.9416
BAA31786	807	608	1568	29.2305
BAA31787	891	692	11806.6	193.381
BAA31788	327	128	395.845	35.0517
BAA31789	246	47.5399	114	27.1795
BAA31790	1167	968	3241	37.9488
BAA31791	972	773	2741	40.1905
BAA31792	1725	1526	3652	27.125
BAA31793	903	704	967	15.5685
BAA31794	306	107	19	2.01263
BAA31795	684	485	135	3.1549
BAA31796	555	356	98	3.12011
BAA31797	777	578	54	1.05891
BAA31798	573	374	77	2.33353
BAA31799	303	104	59	6.43003
BAA31800	423	224	97	4.90815
BAA31801	390	191	102.836	6.10247
BAA31802	231	34.449	72	23.6892
BAA31803	1362	1163	163	1.58855
BAA31804	564	365	158	4.90635
BAA31805	456	257	27.1641	1.198
BAA31806	453	254	264	11.7805
BAA31807	1959	1760	961	6.18878
BAA31808	435	236	215	10.3257
BAA31809	762	563	656	13.2066
BAA31810	159	7.91627	5138	7356.44
BAA31811	1974	1775	2694	17.2026
BAA31812	432	233	336	16.3447
BAA31813	360	161	339.616	23.9087
BAA31814	411	212	135	7.21759
BAA31815	9510	9311	1391	1.69327
BAA31816	273	74.0093	151.384	23.184
BAA31817	504	305	144.117	5.35561
BAA31818	1416	1217	142	1.32249
BAA31819	747	548	289	5.97739
BAA31820	861	662	205	3.50986
BAA31821	561	362	173	5.41666
BAA31822	462	263	66	2.84435
BAA31823	339	140	90	7.28633
BAA31824	255	56.1701	4115	830.346
BAA31825	858	659	5751	98.9127
BAA31826	285	86.0009	899	118.482
BAA31827	276	77.0053	625	91.9928
