Chromosome	13827	14810	1	1	0	1	0	17
Chromosome	32485	334497	1	1	0	0	5	12
Chromosome	65780	65820	1	1	0	1	0	42
Chromosome	77590	78001	2	2	0	1	0	18
Chromosome	112092	112144	2	2	0	0	1	15
Chromosome	129107	129193	1	1	0	1	0	41
Chromosome	134014	134109	2	4	0	1	0	19
Chromosome	146983	193969	2	2	0	0	1	12
Chromosome	147794	193786	1	1	0	1	0	12
Chromosome	163437	165743	2	2	0	0	1	12
Chromosome	180314	193405	2	2	0	0	2	12
Chromosome	193649	193801	2	4	0	1	3	25
Chromosome	193802	193870	2	2	0	1	0	26
Chromosome	201201	229258	1	1	0	0	1	12
Chromosome	207925	4986049	2	2	0	12	3	13
Chromosome	211643	211804	2	2	0	1	0	32
Chromosome	227150	228490	2	4	0	0	2	25
Chromosome	230230	1160702	2	2	0	19	1	13
Chromosome	391196	3372649	2	2	0	0	4	13
Chromosome	411108	411201	1	1	0	2	0	41
Chromosome	411202	411389	1	1	0	0	1	27
Chromosome	411202	411670	1	1	0	0	1	27
Chromosome	411296	411389	1	1	0	1	0	39
Chromosome	411484	411670	1	1	0	0	1	27
Chromosome	430631	471559	2	2	0	1	0	15
Chromosome	445028	492443	1	3	0	0	1	12
Chromosome	468523	512749	1	1	0	0	1	12
Chromosome	495036	521759	1	1	0	1	0	14
Chromosome	495205	523468	1	1	0	0	1	12
Chromosome	499285	521559	1	1	0	0	1	12
Chromosome	512836	512862	1	1	0	1	0	29
Chromosome	516785	516825	2	2	0	1	0	46
Chromosome	522207	522404	1	3	0	1	0	17
Chromosome	574377	574477	1	3	0	1	0	17
Chromosome	666818	668622	2	2	0	1	0	26
Chromosome	705670	726888	2	2	0	1	0	13
Chromosome	720875	767546	1	3	0	0	1	14
Chromosome	776616	776942	2	2	0	0	2	23
Chromosome	776668	776780	2	2	0	1	2	25
Chromosome	776728	776942	2	2	0	0	2	23
Chromosome	776851	776942	2	2	0	0	1	24
Chromosome	776851	777051	2	2	0	0	1	24
Chromosome	776851	777173	2	2	0	1	0	24
Chromosome	776931	776989	2	2	0	1	0	14
Chromosome	776931	777039	2	2	0	18	0	30
Chromosome	787861	835147	1	3	0	0	1	12
Chromosome	856503	856524	2	2	0	1	0	30
Chromosome	861636	863696	2	2	0	0	2	12
Chromosome	864998	865190	1	1	0	0	1	46
Chromosome	865006	865195	1	1	0	1	1	24
Chromosome	865011	865200	2	2	0	20	1	48
Chromosome	865011	865406	2	2	0	0	1	17
Chromosome	865032	865220	1	1	0	3	0	39
Chromosome	865032	865426	1	1	0	1	0	35
Chromosome	865032	865648	1	1	0	0	1	37
Chromosome	865056	865245	2	2	0	0	1	29
Chromosome	865068	865272	1	1	0	1	103	18
Chromosome	865083	865286	1	1	0	0	2	33
Chromosome	865106	865311	2	4	0	0	1	43
