target_id	length	eff_length	est_counts	tpm
BAB35501	3048	2849	135	0.40414
BAB38243	3051	2852	12917	38.628
BAB38484	2148	1949	429	1.87731
BAA31758	876	677	328	4.13214
BAA31759	1758	1559	1733	9.48075
BAA31760	1506	1307	1380	9.0052
BAA31761	1224	1025	1159	9.64383
BAA31762	435	236	514	18.5755
BAA31763	555	356	634	15.189
BAA31764	348	149	109	6.23922
BAA31765	600	401	425	9.0393
BAA31766	978	779	1075	11.7696
BAA31767	849	650	1152	15.1157
BAA31768	513	314	673	18.28
BAA31769	717	518	178	2.93076
BAA31770	402	203	247	10.3775
BAA31771	342	143	632	37.6939
BAA31772	822	623	1139	15.5929
BAA31773	492	293	19	0.553065
BAA31774	2997	2798	436	1.32901
BAA31775	2121	1922	191	0.847559
BAA31776	1440	1241	141	0.96903
BAA31777	285	86.0009	36	3.57018
BAA31778	741	542	1961.35	30.8636
BAA31779	318	119	354.65	25.4181
BAA31780	954	755	2375.18	26.8312
BAA31781	330	131	669.818	43.609
BAA31782	621	422	307	6.20463
BAA31783	684	485	6	0.105511
BAA31784	219	25.9389	547	179.857
BAA31785	306	107	750	59.7816
BAA31786	807	608	1352	18.9655
BAA31787	891	692	7837.59	96.5976
BAA31788	327	128	218.62	14.567
BAA31789	246	47.5399	155	27.8076
BAA31790	1167	968	1550	13.6567
BAA31791	972	773	1348	14.8731
BAA31792	1725	1526	4247	23.7366
BAA31793	903	704	1246	15.0951
BAA31794	306	107	26	2.07243
BAA31795	684	485	164	2.88398
BAA31796	555	356	85	2.03638
BAA31797	777	578	39.1854	0.578211
BAA31798	573	374	38.8146	0.885144
BAA31799	303	104	56	4.59245
BAA31800	423	224	129	4.9117
BAA31801	390	191	369	16.4772
BAA31802	231	34.449	71	17.5781
BAA31803	1362	1163	114	0.836017
BAA31804	564	365	86	2.00954
BAA31805	456	257	24	0.796468
BAA31806	453	254	138	4.63378
BAA31807	1959	1760	526	2.54896
BAA31808	435	236	92	3.3248
BAA31809	762	563	643	9.74076
BAA31810	159	7.91627	3589	3866.72
BAA31811	1974	1775	3823	18.3694
BAA31812	432	233	312	11.4206
BAA31813	360	161	438.613	23.2352
BAA31814	411	212	133	5.35064
BAA31815	9510	9311	2471	2.26343
BAA31816	273	74.0093	205.387	23.6688
BAA31817	504	305	136.745	3.82386
BAA31818	1416	1217	74	0.518598
BAA31819	747	548	194	3.01933
BAA31820	861	662	220	2.83436
BAA31821	561	362	196	4.61783
BAA31822	462	263	54	1.75117
BAA31823	339	140	93	5.66559
BAA31824	255	56.1701	4001	607.51
BAA31825	858	659	6616	85.6249
BAA31826	285	86.0009	648	64.2632
BAA31827	276	77.0053	489	54.16
BAA31828	207	19.5103	252	110.161
BAA31829	381	182	546.591	25.6142
BAA31830	777	578	1061.26	15.6597
BAA31831	465	266	1103.41	35.3789
BAA31832	2211	2012	2080	8.81709
BAA31833	342	143	175	10.4374
BAA31834	888	689	1036.84	12.8346
BAA31836	3903	3704	5832	13.4288
BAA31837	438	239	512	18.271
BAA31838	1107	908	1840	17.2831
BAA31839	1722	1523	3265	18.2841
BAA31840	999	800	14002	149.276
BAA31757	2697	2498	3151	10.7584
BAA31754	324	125	1007	68.7084
BAA31755	381	182	889	41.6601
BAA31756	1041	842	2894	29.3141
BAB33424	84	3.8053	903	2023.9
BAB33425	2463	2264	1546	5.82402
BAB33426	933	734	528	6.13519
BAB33427	1287	1088	903	7.07863
BAB33428	297	98.0001	105	9.13804
BAB33429	777	578	1285	18.9612
BAB33430	1431	1232	271	1.87607
BAB33431	954	755	16123	182.133
BAB33432	588	389	963	21.1138
BAB33433	567	368	3404	78.8918
BAB33434	714	515	41	0.678995
BAB33436	405	206	29	1.20066
BAB33437	1917	1718	15624	77.5638
BAB33438	1131	932	4688	42.9004
BAB33439	210	20.9285	1678	683.824
BAB33440	1167	968	6020	53.0409
BAB33441	900	701	1936	23.5547
BAB33445	2451	2252	83	0.31434
BAB33446	684	485	22	0.386875
BAB33447	534	335	56	1.42572
BAB33448	1422	1223	72	0.502107
BAB33449	264	65.044	61290	8036.6
BAB33451	942	743	6295	72.2598
BAB33452	2817	2618	18037	58.7604
BAB33453	495	296	2161	62.2663
BAB33454	450	251	1391	47.2654
BAB33455	951	752	2630	29.8283
BAB33456	915	716	589	7.01604
BAB33457	822	623	471	6.44797
BAB33458	1149	950	490	4.39909
BAB33459	3222	3023	1090	3.07524
BBE29392	219	25.9389	3	0.986417
BAB33460	396	197	71	3.07385
BAB33461	591	392	22	0.47866
BAB33462	786	587	13	0.188884
BAB33463	1554	1355	180	1.13298
BAB33464	1218	1019	213	1.78277
BAB33465	1143	944	275	2.48457
BAB33466	1515	1316	22	0.142579
BAB33467	771	572	35	0.52187
BAB33468	942	743	41	0.470636
BAB33469	1287	1088	42	0.329238
BAB33470	288	89.0004	3	0.287488
BAB33471	1332	1133	83	0.624796
BAB33472	531	332	57	1.46429
BAB33473	1863	1664	392	2.0092
BAB33474	591	392	8041	174.95
BAB33475	234	36.8813	2168	501.353
BAB33476	315	116	1500	110.287
BAB33477	849	650	2865	37.5925
BAB33478	378	179	2448	116.64
BAB33479	822	623	5699	78.0191
BAB33480	990	791	3815	41.1347
BAB33481	1287	1088	11895	93.245
BAB33482	2355	2156	17425	68.9309
BAB33483	816	617	1089	15.0533
BAB33484	753	554	412	6.34275
BAB33485	660	461	3108	57.5003
BAB33486	2907	2708	13912	43.8158
BAB33487	2352	2153	1099	4.35355
BAB33488	696	497	60	1.02964
BAB33489	1503	1304	186	1.21654
BAB33490	1701	1502	59	0.335021
BAB33491	879	680	119	1.49255
BAB33492	765	566	1094	16.4851
BAB33493	699	500	365	6.22605
BAB33494	1611	1412	639	3.85972
BAB33495	984	785	2682	29.1393
BAB33496	570	371	137	3.14946
BAB33497	1659	1460	633	3.69778
BAB33498	606	407	472	9.89094
BAB33499	1401	1202	492	3.49101
BAB33500	1092	893	544	5.19562
BAB33501	1572	1373	813	5.05022
BAB33502	87	3.88332	30	65.8882
BAB33503	945	746	46	0.525907
BAB33504	1725	1526	737	4.11911
BAB33505	492	293	212	6.17104
BAB33506	87	3.88332	2	4.39255
BAB33507	1005	806	1468	15.5339
BAB33508	459	260	3932	128.982
BAB33509	942	743	5996	68.8276
BAB33510	366	167	1252	63.9408
BAB33511	1767	1568	3161	17.1937
BAB33512	1488	1289	2684	17.759
BAB33513	1359	1160	2592	19.0576
BAB33514	1083	884	1910	18.4277
BAB33515	1317	1118	1789	13.6477
BAB33516	1245	1046	2982	24.3145
BAB33517	1068	869	2582	25.3412
BAB33518	1476	1277	3633	24.2641
BAB33519	921	722	3085	36.4425
BAB33520	831	632	2855	38.5282
BAB33521	1263	1064	2821	22.6127
BAB33522	1152	953	9308	83.3016
BAB33523	918	719	50576	599.937
BAB33524	513	314	1813	49.2446
BAB33525	2706	2507	13034	44.3418
BAB33526	399	200	484	20.6398
BAB33528	198	15.9266	454	243.121
BAB33529	744	545	1552	24.2876
BAB33530	621	422	782	15.8046
BAB33531	1044	845	2837	28.6347
BAB33533	1203	1004	369	3.1346
BAB33534	1386	1187	334	2.39986
BAB33535	441	242	26	0.916322
BAB33536	894	695	1737	21.316
BAB33537	552	353	402	9.71273
BAB33538	855	656	662	8.60685
BAB33539	1371	1172	972	7.07341
BAB33540	765	566	20363	306.842
BAB33541	2664	2465	112671	389.839
BAB33542	1893	1694	55655	280.208
BAB33543	1425	1226	37238	259.051
BAB33544	1854	1655	746	3.84442
BAB33545	2598	2399	13171	46.8251
BAB33546	363	164	440	22.8823
BAB33547	795	596	6302	90.1825
BAB33548	867	668	10570	134.955
BAB33549	309	110	1641	127.235
BAB33550	1551	1352	502	3.16677
BAB33551	2391	2192	11578	45.0488
BAB33552	537	338	5690	143.577
BAB33553	663	464	11298	207.67
BAB33554	927	728	1786	20.9238
BAB33555	771	572	1303	19.4285
BAB33556	441	242	266	9.37468
BAB33557	1230	1031	1300	10.7541
BAB33558	381	182	2860	134.025
BAB33559	897	698	199	2.43158
BAB33560	852	653	5561	72.6323
BAB33561	795	596	2249	32.1835
BAB33562	1110	911	1993	18.6586
BAB33563	591	392	173	3.764
BAB33564	606	407	558	11.6931
BAB33565	549	350	186	4.53247
BAB33566	2601	2402	459	1.62978
BAB33567	726	527	90	1.45654
BAB33568	597	398	46	0.985746
BAB33569	483	284	682	20.4812
BAB33570	1398	1199	11089	78.8793
BAB33571	927	728	1737	20.3497
BAB33572	456	257	8567	284.306
BAB33573	705	506	392	6.60732
BAB33574	531	332	313	8.04075
BAB33575	2430	2231	2231	8.52884
BAB33576	2535	2336	7284	26.5942
BAB33577	2244	2045	978	4.07883
BAB33578	798	599	238	3.38876
BAB33579	891	692	157	1.93501
BAB33580	1983	1784	245	1.17128
BAB33581	1281	1082	3311	26.0989
BAB33582	1422	1223	606	4.22607
BAB33583	345	146	1903	111.167
BAB33584	624	425	1603	32.1688
BAB33585	801	602	1506	21.3363
BAB33586	699	500	3705	63.1987
BAB33587	1518	1319	713	4.61036
BAB33588	1425	1226	5093	35.4302
BAB33589	1158	959	254	2.25894
BAB33590	387	188	967	43.8691
BAB33591	825	626	2732	37.2217
BAB33592	2673	2474	2752	9.48722
BAB33593	795	596	5332	76.3017
BAB33594	726	527	234125	3789.02
BAB33595	852	653	85485	1116.52
BAB33596	726	527	7189	116.345
BAB33597	558	359	15131	359.471
BAB33598	1197	998	1992	17.0235
BAB33599	759	560	21135	321.888
BAB33600	828	629	12579	170.563
BAB33601	1353	1154	20934	154.716
BAB33602	2433	2234	54094	206.517
BAB33603	486	287	25118	746.437
BAB33604	1026	827	19810	204.3
BAB33605	456	257	11177	370.922
BAB33606	789	590	15766	227.908
BAB33607	1149	950	6900	61.9463
BAB33608	597	398	2427	52.0088
BAB33609	3483	3284	15450	40.125
BAB33610	960	761	12140	136.058
BAB33611	2142	1943	1217	5.34205
BAB33612	390	191	216	9.64518
BAB33613	1296	1097	810	6.2975
BAB33614	261	62.0706	577	79.283
BBE29393	201	17.0167	704	352.849
BAB33615	459	260	867	28.4404
BAB33616	411	212	445	17.9025
BAB33617	711	512	825	13.7428
BAB33618	825	626	191	2.60225
BAB33619	1719	1520	13717	76.9672
BAB33620	708	509	1506	25.2346
BAB33621	405	206	1756	72.7022
BAB33622	816	617	1907	26.3606
BAB33623	654	455	643	12.0528
BAB33624	1032	833	900	9.21484
BAB33625	576	377	1050	23.7541
BAB33626	804	605	1160	16.3528
BAB33627	915	716	1557	18.5467
BAB33628	780	581	1939	28.4637
BAB33629	771	572	1531	22.8281
BAB33630	1359	1160	46423	341.323
BAB33631	756	557	977	14.9599
BAB33632	723	524	1324	21.55
BAB33633	468	269	1297	41.1223
BAB33634	741	542	2258	35.5316
BBE29394	801	602	473	6.70123
BAB33635	297	98.0001	14	1.21841
BAB33636	450	251	20	0.679589
BAB33637	597	398	31	0.664307
BAB33638	222	27.8721	4	1.224
BAB33639	480	281	21	0.637387
BAB33640	1410	1211	251	1.76775
BAB33641	3435	3236	329	0.867117
BAB33645	744	545	7	0.109545
BAB33646	2772	2573	126	0.417658
BAB33647	762	563	115	1.74213
BAB33648	1332	1133	312	2.34863
BAB33649	525	326	41	1.07265
BAB33650	1281	1082	79	0.622716
BAB33651	1083	884	55	0.530641
BAB33652	1851	1652	204	1.0532
BAB33653	414	215	79	3.13385
BAB33654	1392	1193	253	1.80872
BAB33655	225	29.9375	37	10.5409
BAB33656	501	302	192	5.42231
BAB33657	519	320	82	2.18552
BAB33659	2142	1943	85	0.373109
BAB33660	4215	4016	401.464	0.852595
BAB33661	546	347	75	1.84341
BAB33664	1137	938	244.83	2.22614
BAB33665	1761	1562	180.536	0.985765
BAB33666	171	9.50903	1	0.89692
BAB33667	264	65.044	17	2.22911
BAB33668	1173	974	73	0.639225
